sensor,rank,channel,wavenumber_cm-1,category,category_rank,peak_pressure_hpa,introduced_at
cris-fsr,32,164,751.875,temperature,19,972.2641754228282,32
cris-fsr,33,167,753.75,temperature,20,891.6786121118214,48
cris-fsr,34,1042,1415,humidity,10,468.7770724342657,48
cris-fsr,35,123,726.25,temperature,21,840.0155447833259,48
cris-fsr,36,242,800.625,window,5,,48
cris-fsr,37,168,754.375,temperature,22,790.0168080883487,48
cris-fsr,38,1010,1395,humidity,11,336.091113713203,48
cris-fsr,39,64,689.375,temperature,23,68.79700579962896,48
cris-fsr,40,898,1325,humidity,12,765.6450634507773,48
cris-fsr,41,152,744.375,temperature,24,765.6450634507773,48
cris-fsr,42,116,721.875,temperature,25,718.1625119688192,48
cris-fsr,43,874,1310,humidity,13,741.693302719632,48
cris-fsr,44,342,863.125,window,6,,48
cris-fsr,45,128,729.375,temperature,26,650.1035368201636,48
cris-fsr,46,105,715,temperature,27,525.4156877323625,48
cris-fsr,47,914,1335,humidity,14,695.0535252736856,48
cris-fsr,48,56,684.375,temperature,28,49.32616673448834,48
